event_time,user_host,thread_id,server_id,command_type,argument
"2021-12-12 11:50:21.568156,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:21.600988,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:21.617209,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:21.620325,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:21.754208,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:21.759076,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:21.762167,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:21.948400,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:21.951857,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:23.717780,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:23.886679,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:24.007003,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:24.033257,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.237164,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.264912,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.287865,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.301093,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.303366,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.304869,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.306985,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.308756,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.310452,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.311803,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:24.313735,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:51:11.648109,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:51:11.678235,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:51:11.839857,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:51:11.840738,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:51:11.883376,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:52:34.388979,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:52:34.389638,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:52:37.329220,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:52:37.400217,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:52:37.401397,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:52:37.427330,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:52:37.429087,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:55:08.961643,""[root] @ localhost [::1]"",26,1,Connect,..."
"2021-12-12 11:55:08.962455,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:08.962741,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:08.963160,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:08.984410,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:08.984755,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.016424,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.017411,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.029157,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.032760,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.056702,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.057059,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.057286,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.057621,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.057979,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.068235,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.068526,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.068807,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.069105,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.069382,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.078087,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.096638,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.097186,""root[root] @ localhost [::1]"",26,1,Query,..."
"2021-12-12 11:55:09.098185,""root[root] @ localhost [::1]"",26,1,Quit,"
"2021-12-12 11:56:21.318536,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:56:21.358964,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 12:11:46.510291,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 12:11:46.622975,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 12:11:46.624275,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 12:11:46.624841,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 12:11:46.626459,""root[root] @ localhost [::1]"",24,1,Query,..."
